name;adresse;sted;land;land2;
Nedre Telemark jordskifterett;Fylkesbakken 6, 3715 Skien, Norway;Norway;
Nordfjordeid tinghus;Postvegen 3, 6770 Nordfjordeid, Norway;Norway;
Nord-Troms jordskifterett;Strandvegen 13, 9007 Tromsø, Norge;Norway;
Notodden tinghus;Heddalsvegen 28C, 3674 Notodden, Norge;Norway;
Ørsta jordskifterett;Strandgata 5A, 6150 Ørsta, Norge;Norway;
Oslo tinghus;C. J. Hambros plass 4, 0164 Oslo, Norge;Norway;
Sandnessjøen tinghus;Torolv Kveldulvsons gate 61, 8800 Sandnessjøen, Norge;Norway;
Sandnes tinghus;Olav Vs Plass 1, 4306 Sandnes, Norge;Norway;
Sandvika tinghus;Kjørboveien 10, 1337 Sandvika, Norge;Norway;
Sarpsborg jordskifterett;Albert Moeskaus vei 59, 1711 Sarpsborg, Norge;Norway;
Sarpsborg tinghus;Sigvat Skalds gate 3, 1706 Sarpsborg, Norge;Norway;
Senja tinghus;Storgata 6, 9300 Finnsnes, Norge;Norway;
Skien tinghus;Gjerpensgate 16, 3716 Skien, Norge;Norway;
Ski tinghus;Vestveien 22, 1400 Ski, Norge;Norway;
Sogndal tinghus;Hovevegen 4, 6856 Sogndal, Norway;Norway;
Sør-Rogaland jordskifterett;Gartnerveien 4, 4016 Stavanger, Norway;Norway;
Sortland jordskifterett;Gårdsalléen, Sortland, Norge;Norway;
Sortland tinghus;Torget 10, 8400 Sortland, Norge;Norway;
Stavanger tinghus;Bergelandsgata 10, 4012 Stavanger, Norge;Norway;
Steinkjer tinghus;Strandvegen 40, 7713 Steinkjer, Norge;Norway;
Surnadal jordskifterett;Bårdshaugvegen 1, 6650 Surnadal, Norge;Norway;
Svolvær tinghus;Torget 2, 8300 Svolvær, Norge;Norway;
Tana tinghus;Tana bru, 9485 Tana, Norge;Norway;
Tønsberg Jordskifterett;Anton Jenssens gate 5, 3125 Tønsberg, Norway;Norway;
Tønsberg tinghus;Anton Jenssens gate 9, 3125 Tønsberg, Norge;Norway;
Tromsø tinghus;Troms Tinghus, Fr Nansens plass 17, 9008 Tromsø, Norge;Norway;
Trondheim jordskifterett;Prinsens gt. 1, 7013 Trondheim, Norge;Norway;
Trondheim tinghus;Munkegata 20, 7013 Trondheim, Norge;Norway;
Tynset jordskifterett;Sjukehusveien 8, 2500 Tynset, Norge;Norway;
Tynset tinghus;Sjukehusveien 8, 2500 Tynset, Norge;Norway;
Union Brygge;Grønland 32, 3045 Drammen, Norway;Norway;
Vadsø tinghus;Kirkegata 22, 9800 Vadsø, Norge;Norway;
Vågå tinghus;Edvard Storms veg 5, 2680 Vågå, Norge;Norway;
Vestfold jordskifterett;Anton Jenssens gate 5, 3125 Tønsberg, Norway;Norway;
Volda tinghus;Røysbakken 7, 6100 Volda, Norway;Norway;
Voss jordskifterett;Skulegata 11A, 5700 Voss, Norge;Norway;
